Class Name;ATFD;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
main.java.Light;1;3;0;2;7.5;791.1453;0.0285;27;15;105.486;1;60.0059;6;6;0;3;1;20;0;4;19;0;0;7;1.0;1.0;4
main.java.Main;0;4;0;1;10.4;962.1143;0.0325;25;13;92.511;1;62.7083;6;10;0;1;0;13;0;1;13;0;0;7;0.0;1.0;1
main.java.SmartHomeAppliance;0;4;1;1;4.6667;248.0373;0.0132;16;10;53.1508;2;70.8043;1;2;0;1;1;16;2;3;15;0;0;4;0.0;1.0;3
main.java.SmartHomeMediator;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
main.java.SmartHomeMediatorImpl;0;3;1;1;9.6;902.5118;0.0311;23;17;94.0116;1;60.3124;2;7;0;2;1;17;0;3;16;0;0;6;1.0;1.0;5
main.java.Thermostat;1;3;0;2;7.8571;802.8945;0.0288;25;17;102.1866;1;63.0711;4;4;0;2;1;19;0;3;18;0;0;6;1.0;1.0;3
