Class Name;ATFD;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
main.java.LightBulb;1;3;2;1;7.0;875.6843;0.0305;30;18;125.0978;1;60.8701;3;5;0;2;2;19;0;3;17;0;0;5;1.0;1.0;3
main.java.Main;0;4;0;1;7.0;840.0;0.0297;30;16;120.0;1;59.1749;6;10;0;1;0;13;0;1;13;0;0;6;0.0;1.0;1
main.java.SmartHomeAppliance;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
main.java.SmartHomeHub;0;3;1;1;9.6;941.7514;0.032;24;17;98.0991;1;60.8393;2;7;0;2;1;17;0;3;16;0;0;6;1.0;1.0;5
main.java.SmartHomeMediator;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
main.java.Thermostat;1;3;2;1;7.0;875.6843;0.0305;30;18;125.0978;1;60.8701;3;5;0;2;2;19;0;3;17;0;0;5;1.0;1.0;3
