Class Name;ATFD;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
main.java.Appliance;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
main.java.ControlMediator;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
main.java.Fan;1;2;1;1;6.0;525.415;0.0217;23;14;87.5692;1;63.5548;2;5;1;3;1;19;0;3;18;0;0;4;1.0;0.6667;3
main.java.Light;1;2;1;1;6.0;525.415;0.0217;23;14;87.5692;1;63.5548;2;5;1;3;1;19;0;3;18;0;0;4;1.0;0.6667;3
main.java.MediatorPatternDemo;1;5;0;1;7.5;673.9386;0.0256;23;15;89.8585;1;63.6334;6;9;0;1;0;13;0;1;13;0;0;5;0.0;1.0;1
main.java.SmartHomeControlMediator;0;3;1;1;15.0;1129.2632;0.0361;21;12;75.2842;1;62.3548;3;7;0;3;1;19;0;3;18;0;0;7;1.0;1.0;5
