Class Name;ATFD;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
main.java.Light;1;3;1;1;9.2857;1290.4704;0.0395;34;17;138.9737;1;56.9054;6;7;0;4;1;20;0;5;19;0;0;7;0.5;1.0;5
main.java.Main;0;5;0;1;10.4;962.1143;0.0325;25;13;92.511;1;62.7083;6;10;0;1;0;13;0;1;13;0;0;7;0.0;1.0;1
main.java.SmartHomeAppliance;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
main.java.SmartHomeMediator;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
main.java.SmartHomeMediatorImpl;0;3;1;1;9.6;902.5118;0.0311;23;17;94.0116;1;60.3124;2;7;0;2;1;17;0;3;16;0;0;6;1.0;1.0;5
main.java.Thermostat;1;3;1;1;9.625;1308.3617;0.0399;32;19;135.9337;1;59.2417;4;5;0;3;1;19;0;4;18;0;0;6;0.3333;1.0;4
