Class Name;ATFD;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
main.java.Appliance;0;6;1;1;3.0;117.0;0.008;13;8;39.0;2;78.3037;0;1;0;0;1;16;3;3;15;0;0;3;0.0;0.0;3
main.java.Light;1;3;0;2;7.5;542.5481;0.0222;19;14;72.3397;2;64.1303;3;3;0;2;1;19;0;3;18;0;0;6;0.0;1.0;3
main.java.Main;0;6;0;1;6.4286;642.2906;0.0248;27;13;99.9119;1;58.6441;6;10;0;1;0;13;0;1;13;0;0;6;0.0;1.0;1
main.java.Mediator;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
main.java.SecuritySystem;1;3;0;2;7.5;542.5481;0.0222;19;14;72.3397;2;64.1303;3;3;0;2;1;19;0;3;18;0;0;6;0.0;1.0;3
main.java.SmartHomeMediator;0;3;1;1;9.6;902.5118;0.0311;23;17;94.0116;1;60.9661;2;7;0;2;1;17;0;3;16;0;0;6;1.0;1.0;5
main.java.Thermostat;1;3;0;2;7.5;542.5481;0.0222;19;14;72.3397;2;64.1303;3;3;0;2;1;19;0;3;18;0;0;6;0.0;1.0;3
