Class Name;ATFD;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
main.java.LightBulb;1;3;0;2;11.3333;2040.9635;0.0536;41;21;180.085;1;54.7085;6;8;0;4;2;24;0;5;22;0;0;10;0.6667;1.0;5
main.java.Main;0;5;0;1;8.0;1177.1893;0.0372;36;17;147.1487;1;56.4438;9;13;0;1;0;13;0;1;13;0;0;7;0.0;1.0;1
main.java.SmartHomeAppliance;0;5;2;1;3.0;180.0;0.0106;20;8;60.0;4;76.925;0;1;0;0;2;19;2;5;17;0;0;5;0.0;0.0;5
main.java.SmartHomeHub;0;3;1;1;13.0;1517.8527;0.044;28;18;116.7579;1;57.409;3;8;0;3;1;20;0;4;19;0;0;8;1.0;1.0;6
main.java.SmartHomeMediator;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
main.java.Thermostat;1;3;0;2;11.3333;2040.9635;0.0536;41;21;180.085;1;54.7085;6;8;0;4;2;24;0;5;22;0;0;10;0.6667;1.0;5
