Class Name;ATFD;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
main.java.Appliance;0;6;1;1;4.6667;248.0373;0.0132;16;10;53.1508;2;70.8043;1;2;0;1;1;16;3;3;15;0;0;4;0.0;1.0;3
main.java.Light;1;3;0;2;4.0;186.4181;0.0109;13;12;46.6045;1;69.8292;2;2;0;1;1;18;0;2;17;0;0;4;0.0;1.0;2
main.java.Main;0;5;0;1;7.5;856.6549;0.0301;30;14;114.2206;1;58.2151;6;10;0;1;0;13;0;1;13;0;0;7;0.0;1.0;1
main.java.Mediator;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
main.java.SecuritySystem;1;3;0;2;4.0;186.4181;0.0109;13;12;46.6045;1;69.8292;2;2;0;1;1;18;0;2;17;0;0;4;0.0;1.0;2
main.java.SmartHomeMediator;0;3;1;1;9.6;902.5118;0.0311;23;17;94.0116;1;60.3124;2;7;0;2;1;18;0;3;17;0;0;6;1.0;1.0;5
main.java.Thermostat;1;3;0;2;4.0;186.4181;0.0109;13;12;46.6045;1;69.8292;2;2;0;1;1;18;0;2;17;0;0;4;0.0;1.0;2
