Class Name;ATFD;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
main.java.Appliance;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
main.java.Control;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
main.java.Fan;1;1;1;1;6.0;525.415;0.0217;23;14;87.5692;1;63.5548;2;5;1;3;1;19;0;3;18;0;0;4;1.0;0.6667;3
main.java.Light;1;1;1;1;6.0;525.415;0.0217;23;14;87.5692;1;63.5548;2;5;1;3;1;19;0;3;18;0;0;4;1.0;0.6667;3
main.java.Mediator;0;1;0;1;8.0;687.6127;0.026;22;15;85.9516;2;64.4898;5;7;0;2;1;15;0;2;14;0;0;5;0.0;1.0;4
main.java.SmartHomeControl;0;2;1;1;12.5;896.2406;0.031;20;12;71.6993;1;63.3098;3;4;1;4;1;21;0;4;20;0;0;7;1.0;0.75;4
