Class Name;ATFD;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
main.java.LightBulb;1;3;0;2;8.5714;910.9203;0.0313;26;17;106.274;1;62.1298;4;4;0;2;2;20;0;3;18;0;0;6;1.0;1.0;3
main.java.Main;0;5;0;1;6.0;703.2403;0.0264;30;15;117.2067;1;59.2519;6;10;0;1;0;13;0;1;13;0;0;5;0.0;1.0;1
main.java.SmartHomeAppliance;0;5;2;1;3.0;169.4183;0.0102;17;10;56.4728;2;74.4781;0;2;0;0;2;17;2;3;15;0;0;3;0.0;0.0;3
main.java.SmartHomeHub;0;3;1;1;9.6;941.7514;0.032;24;17;98.0991;1;60.8393;2;7;0;2;1;17;0;3;16;0;0;6;1.0;1.0;5
main.java.SmartHomeMediator;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
main.java.Thermostat;1;3;0;2;8.5714;910.9203;0.0313;26;17;106.274;1;62.1298;4;4;0;2;2;20;0;3;18;0;0;6;1.0;1.0;3
