Class Name;ATFD;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
Car;1;2;0;1;2.5;56.1471;0.0049;8;7;22.4588;1;77.467;1;1;0;1;0;14;0;1;14;0;0;2;0.0;1.0;1
CarFactory;0;4;0;1;0.0;0.0;0.0;6;5;13.9316;1;79.0668;0;1;0;1;0;14;0;1;14;0;0;1;0.0;1.0;1
Main;0;3;0;1;3.5;220.1762;0.0122;17;13;62.9075;1;64.7327;6;6;0;1;0;13;0;1;13;0;0;4;0.0;1.0;1
Truck;1;2;0;1;2.5;56.1471;0.0049;8;7;22.4588;1;77.467;1;1;0;1;0;14;0;1;14;0;0;2;0.0;1.0;1
TruckFactory;0;4;0;1;0.0;0.0;0.0;6;5;13.9316;1;79.0668;0;1;0;1;0;14;0;1;14;0;0;1;0.0;1.0;1
Vehicle;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
VehicleAbstractFactory;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
VehicleFactoryCreator;0;4;0;1;5.625;437.1144;0.0192;21;13;77.7092;1;65.8272;2;8;0;1;0;13;0;1;13;0;0;3;0.0;1.0;3
