Class Name;ATFD;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
main.java.Coffee;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
main.java.CoffeeDecorator;0;3;1;1;10.0;609.4436;0.024;17;12;60.9444;1;64.6847;2;3;0;2;1;18;2;3;17;0;0;5;1.0;1.0;3
main.java.CoffeeShop;1;4;0;1;11.25;999.1187;0.0333;24;13;88.8106;1;66.6847;4;5;0;1;0;13;0;1;13;0;0;6;0.0;1.0;1
main.java.Milk;0;3;1;2;6.0;650.5083;0.025;26;18;108.4181;2;62.8973;3;3;0;0;3;23;0;3;20;2;0;6;0.0;1.0;3
main.java.SimpleCoffee;0;2;1;1;3.5;193.7282;0.0112;16;11;55.3509;2;68.0208;0;2;2;2;2;18;0;2;16;0;0;2;0.0;0.0;2
main.java.Vanilla;0;3;1;2;6.0;650.5083;0.025;26;18;108.4181;2;62.8973;3;3;0;0;3;23;0;3;20;2;0;6;0.0;1.0;3
