Class Name;ATFD;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
main.java.Coffee;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
main.java.CoffeeDecorator;0;3;1;1;10.0;609.4436;0.024;17;12;60.9444;1;66.5858;2;3;0;2;1;18;2;3;17;0;0;5;1.0;1.0;3
main.java.CoffeeShop;1;4;0;1;11.3333;1467.1008;0.043;34;14;129.4501;1;62.5047;9;6;0;1;0;13;0;1;13;0;0;6;0.0;1.0;1
main.java.Milk;0;3;0;2;5.0;351.5418;0.0166;19;13;70.3084;2;66.117;3;3;0;0;1;21;0;3;20;2;0;6;0.0;1.0;3
main.java.SimpleCoffee;0;2;0;1;2.5;63.1655;0.0053;9;7;25.2662;2;70.4184;0;2;0;2;0;16;0;2;16;0;0;2;0.0;1.0;2
main.java.Vanilla;0;3;0;2;5.0;351.5418;0.0166;19;13;70.3084;2;66.117;3;3;0;0;1;21;0;3;20;2;0;6;0.0;1.0;3
