Class Name;ATFD;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
main.java.Charger;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
main.java.Main;1;4;0;1;4.6667;217.0326;0.012;14;10;46.507;1;64.8161;2;5;0;1;0;13;0;1;13;0;0;4;0.0;1.0;1
main.java.MobileChargerClient;0;2;1;1;4.5;148.5;0.0093;11;8;33.0;1;72.2996;1;2;1;2;1;15;0;2;14;0;0;3;1.0;0.5;2
main.java.UKMobileCharger;1;2;0;1;2.0;31.0196;0.0033;6;6;15.5098;1;81.3571;1;1;0;1;0;13;0;1;13;0;0;2;0.0;1.0;1
main.java.UKMobileChargerAdapter;0;3;1;1;5.25;183.0632;0.0107;11;9;34.8692;1;70.7484;1;2;0;1;1;16;0;2;15;0;0;3;0.0;1.0;2
