Class Name;ATFD;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
main.java.Coffee;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
main.java.CoffeeDecorator;0;3;1;1;3.5;99.8526;0.0072;9;9;28.5293;0;79.4591;0;1;0;0;1;16;2;1;15;0;0;1;0.0;0.0;1
main.java.CoffeeShop;1;4;0;1;16.5;1980.0;0.0526;30;16;120.0;1;61.8071;6;6;0;2;0;14;0;2;14;0;0;7;0.0;1.0;2
main.java.Milk;0;3;2;2;8.0;833.985;0.0295;25;18;104.2481;1;63.012;4;3;0;2;3;21;0;3;18;0;0;8;1.0;1.0;3
main.java.SimpleCoffee;0;2;2;1;3.5;181.6202;0.0107;15;11;51.8915;2;68.2504;0;2;2;2;2;18;0;2;16;0;0;3;0.0;0.0;2
main.java.Vanilla;0;3;2;2;8.0;833.985;0.0295;25;18;104.2481;1;63.012;4;3;0;2;3;21;0;3;18;0;0;8;1.0;1.0;3
