Class Name;ATFD;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
main.java.Coffee;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
main.java.CoffeeDecorator;0;3;1;1;3.0;72.0;0.0058;8;8;24.0;0;79.9278;0;1;0;0;1;16;2;1;15;0;0;1;0.0;0.0;1
main.java.CoffeeShopDemo;1;4;0;1;8.3333;900.0;0.0311;27;16;108.0;1;60.6671;6;7;0;2;0;14;0;2;14;0;0;7;0.0;1.0;2
main.java.Milk;0;3;0;2;8.3333;585.903;0.0233;19;13;70.3084;1;64.2159;3;3;0;2;1;19;0;3;18;0;0;6;1.0;1.0;3
main.java.SimpleCoffee;0;2;0;1;2.5;63.1655;0.0053;9;7;25.2662;2;70.4184;0;2;0;2;0;16;0;2;16;0;0;2;0.0;1.0;2
main.java.Vanilla;0;3;0;2;8.3333;585.903;0.0233;19;13;70.3084;1;64.2159;3;3;0;2;1;19;0;3;18;0;0;6;1.0;1.0;3
