Class Name;ATFD;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
main.java.Coffee;0;5;0;1;0.0;0.0;0.0;6;3;9.5098;2;0.0;0;0;0;0;0;14;2;2;14;0;0;2;0.0;0.0;2
main.java.CoffeeDecorator;0;3;1;2;9.0;498.1582;0.0209;16;11;55.3509;1;64.9493;2;3;0;2;1;18;2;3;17;0;0;5;1.0;1.0;3
main.java.CoffeeShopDemo;1;4;0;1;11.25;999.1187;0.0333;24;13;88.8106;1;67.9498;4;5;0;1;0;13;0;1;13;0;0;6;0.0;1.0;1
main.java.Milk;0;3;0;3;9.1667;663.1143;0.0253;19;14;72.3397;1;64.1303;4;3;0;0;1;21;0;3;20;2;0;8;1.0;1.0;3
main.java.SimpleCoffee;0;2;0;2;2.5;63.1655;0.0053;9;7;25.2662;2;70.4184;0;2;0;2;0;16;0;2;16;0;0;3;0.0;1.0;2
main.java.Vanilla;0;3;0;3;9.1667;663.1143;0.0253;19;14;72.3397;1;64.1303;4;3;0;0;1;21;0;3;20;2;0;8;1.0;1.0;3
