Class Name;ATFD;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
main.java.ChargerAdapter;0;3;1;1;5.25;183.0632;0.0107;11;9;34.8692;1;70.7484;1;2;0;1;1;16;0;2;15;0;0;3;0.0;1.0;2
main.java.Client;0;2;1;1;4.5;135.0;0.0088;10;8;30.0;1;72.5894;1;2;0;1;1;15;0;2;14;0;0;3;0.0;1.0;2
main.java.CountrySpecificCharger;1;2;0;1;1.5;17.4145;0.0022;5;5;11.6096;1;82.3002;1;1;0;1;0;13;0;1;13;0;0;2;0.0;1.0;1
main.java.Main;0;3;0;1;3.0;114.1173;0.0078;12;9;38.0391;1;67.1244;1;4;0;1;0;13;0;1;13;0;0;4;0.0;1.0;1
main.java.MobileCharger;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
