Class Name;ATFD;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
main.java.Coffee;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
main.java.CoffeeDecorator;0;3;1;1;10.0;609.4436;0.024;17;12;60.9444;1;64.6847;2;3;0;2;1;18;2;3;17;0;0;5;1.0;1.0;3
main.java.CoffeeShopDemo;1;4;0;1;11.25;999.1187;0.0333;24;13;88.8106;1;66.6847;4;5;0;1;0;13;0;1;13;0;0;6;0.0;1.0;1
main.java.Milk;0;3;2;2;6.0;625.4888;0.0244;25;18;104.2481;2;63.012;4;3;0;0;3;23;0;3;20;2;0;8;0.0;1.0;3
main.java.SimpleCoffee;0;2;2;1;3.5;181.6202;0.0107;15;11;51.8915;2;68.2504;0;2;2;2;2;18;0;2;16;0;0;3;0.0;0.0;2
main.java.Vanilla;0;3;2;2;6.0;625.4888;0.0244;25;18;104.2481;2;63.012;4;3;0;0;3;23;0;3;20;2;0;8;0.0;1.0;3
